Test;Variable;nsLearning;sLearning;anxiety;social;noMeta;direcHyp;direcTheory
defensiveWithdrawal;latency;0;0;1;0;0;1;1
defensiveWithdrawal;timeCenter;0;0;1;0;0;-1;-1
defensiveWithdrawal;timeTube;0;0;1;0;0;1;1
E0M;entriesOpen;0;0;1;0;0;-1;-1
E0M;timeOpen;0;0;1;0;0;-1;-1
E0M;timeClose;0;0;1;0;0;1;1
EPM;entriesOpen;0;0;1;0;0;-1;-1
EPM;timeOpen;0;0;1;0;0;-1;-1
fearConditioning;freezing0h;0;0;1;0;0;1;1
fearConditioning;freezingMem;0;1;0;0;0;1;1
FST;distanceSwumMem;0;1;0;0;0;-1;-1
FST;immobility0h;0;0;1;0;0;1;1
FST;immobilityCountMem;0;1;0;0;0;1;1
FST;immobilityLatencyMem;0;1;0;0;0;-1;-1
FST;immobilityMem;0;1;0;0;0;1;1
FST;struggling0h;0;0;1;0;0;-1;-1
LDBox;timeDark;0;0;1;0;0;1;1
LDBox;timeLight;0;0;1;0;0;-1;-1
MWM;distanceTarget;0;1;0;0;0;1;1
MWM;latencyPlatform;0;1;0;0;0;-1;-1
MWM;timeQuadrant;0;1;0;0;0;1;1
noveltyFeedDrink;latencyFeed;0;0;1;0;0;1;1
OC;DI;1;0;0;0;0;-1;1
OF;distanceCenter;0;0;1;0;0;-1;-1
OF;entriesCenter;0;0;1;0;0;-1;-1
OF;latencyCenter;0;0;1;0;0;1;1
OF;timeCenter;0;0;1;0;0;-1;-1
OF;timePeriphery;0;0;1;0;0;1;1
OL;DI;1;0;0;0;0;-1;1
OL;novelTime;1;0;0;0;0;-1;1
OR;DI;1;0;0;0;0;-1;1
OR;novelFamiliarRatio;1;0;0;0;0;-1;1
OR;novelTime;1;0;0;0;0;-1;1
radialMaze8Arm;errorsWorkingMemory;0;0;0;0;1;1;-1
RIT;aggressionLatency;0;0;0;1;0;-1;1
RIT;aggressionTime;0;0;0;1;0;1;-1
RIT;attackLatency;0;0;0;1;0;-1;1
RIT;attackTime;0;0;0;1;0;1;-1
RIT;offensivePosture;0;0;0;1;0;1;-1
RIT;totalAggressive;0;0;0;1;0;1;-1
shuttleBox;avoidanceResponse;0;1;0;0;0;1;1
shuttleBox;latencyAvoidance;0;1;0;0;0;-1;-1
shuttleBox;latencyEntry;0;1;0;0;0;-1;-1
socialFearConditioning;freezingMem;0;1;0;0;0;1;1
socialInteraction;amountSocial;0;0;0;1;0;-1;1
socialInteraction;timeInteraction;0;0;0;1;0;-1;1
socialInteraction;timeSociability;0;0;0;1;0;-1;1
socialOF;socialProximity;0;0;0;1;0;-1;1
socialPlay;socialInteraction;0;0;0;1;0;-1;1
socialPreference;preferenceIndex;0;0;0;1;0;-1;1
socialPreference;timeSociability;0;0;0;1;0;-1;1
socialRecognition;DI;1;0;0;0;0;-1;1
socialRecognition;novelTime;1;0;0;0;0;-1;1
stepDownAvoidance;latencyStepDownMem;0;0;0;0;1;1;1
tailSuspension;immobility;0;0;1;0;0;1;1
temporalOrder;DI;1;0;0;0;0;-1;1
tMaze;alternation;0;0;0;0;1;-1;1
yMaze;alternation;0;0;0;0;1;-1;1
yMaze;novelTime;1;0;0;0;0;-1;1
