Each;search;id;author;year;journal;title;select;species;strain;strainGrouped;origin;sex;model;mTime;mTimeStart;mTimeEnd;mHours;mHoursAve;mCage;mCageGrouped;mLD;mLDGrouped;mRepetition;mControlGrouped;mDetails;hit2Grouped;hit2Ccomment;nest;testAuthor;testAuthorGrouped;waterTcate;waterT;testDetail;testLength;testHab;testLD;testLDGrouped;ageRange;ageWeek;exclude;varAuthor;varAuthorGrouped;freezingType;retentionInMin;retention;retentionGrouped;direction;directionGrouped;directionAnalysis;dataFrom;effectSizeCorrection;cut_nC;n_notRetriev;nC;meanC;sdC;seC;nE;meanE;sdE;seE;dataType;seqGeneration;baseline;allocation;housing;blindExp;control;outAss;outBlind;incData;;
9079;P;1050;Kähling J, Ziegler H, Ballhause H.;1975;Arzneimittelforschung;[Central action of WA-335-BS, a substance with peripheral antiserotonin and antihistaminic activity].;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9046;P;12521;Valzelli L, Bernasconi S.;1976;Psychol Med;Psychoactive drug effect on behavioural changes induced by prolonged socio-environmental deprivation in rats.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9024;P;16253;Czlonkowski A, Kostowski W.;1977;Pol J Pharmacol Pharm;Factors which might modify analgesic effect of morphine in differentially housed rats.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8998;P;35173;Kamioka T, Nakayama I, Hara T, Takagi H.;1978;Arzneimittelforschung;Pharmacological studies on CS-430, a new psychotropic agent.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8974;P;35310;Malick JB.;1979;Curr Dev Psychopharmacol;The pharmacology of isolation-induced aggressive behavior in mice.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8975;P;37694;Rewerski W, Kostowski W, Piechocki T.;1979;Acta Physiol Pol;Effects of some neuroleptic drugs on aggressive behavior in isolated mice.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8999;P;40500;Valzelli L.;1978;Ann Ist Super Sanita;Effect of socio-environmental isolation on brain biochemistry, behaviour and psychoactive drug activity.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9080;P;48624;Gunther M.;1975;Lancet;The neonate's immunity gap, breast feeding and cot death.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9025;P;65184;Culbertson VB, Freedberg IM.;1977;Biochim Biophys Acta;Mammalian epidermal keratin: isolation and characterization of the alpha-helical proteins from newborn rat.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9000;P;99981;Jones IH, Barraclough BM.;1978;Acta Psychiatr Scand;Auto-mutilation in animals and its relevance to self-injury in man.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8976;P;108744;DaVanzo JP, Sydow M.;1979;Psychopharmacology (Berl);Inhibition of isolation-induced aggressive behavior with GABA transaminase inhibitors.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8977;P;111297;Hecht A.;1979;Psychopharmacology (Berl);Behavioral effects produced by long-term administration of a neuroleptic drug (flupenthixol) upon social interaction in a group of eight rats.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2338;W;113891;"Sampath, D; Vaishnavi, S; Durgalakshmi, R; Kutty, BM; Laxmi, TR";2010;CURRENT SCIENCE;Long-term effects of early maternal separation and isolation stress on adulthood behaviour of female rats;0;rat;wistar;wistar;B;F;I;P5-P7;5;7;6;6;NC;NC;pL;L;RP;AFR;;0;light/dark test the day before;a;coulbourn habitest modular rat test chamber;coulbournTest;;;The set-up comprised of a drop pan, stainless- steel grid floor for delivery of constant current, a sliding plexiglass door in front and a fixed plexiglass door at the back. A thermal sensor was placed on the top to record the locomotor activity of rats. The fear behaviour of the rats was scored offline using video recordings;;;pL;L;P62;9;;freezing (%);freezing;;;;;ns;ns;;ruler;;;;10;208;;103;14;338;;76;percentage;NS;NS;NS;NS;NS;Y;NS;NS;NS;;
2338;W;113891;"Sampath, D; Vaishnavi, S; Durgalakshmi, R; Kutty, BM; Laxmi, TR";2010;CURRENT SCIENCE;Long-term effects of early maternal separation and isolation stress on adulthood behaviour of female rats;1;rat;wistar;wistar;B;F;I;P5-P7;5;7;6;6;NC;NC;pL;L;RP;AFR;;0;;a;light/dark test;LDBox;;;animals placed in light for 10s, then door opened;NS;;pL;L;P61;9;1;latency to enter dark;latencyDark;notApplicable;;notApplicable;;ns;ns;ANOVA;ruler;;;;10;203;;63;14;147;;37;count;NS;NS;NS;NS;NS;Y;NS;NS;NS;;
